,Y101,Y102,Y103,Y104,Y105,Y106,Y107,Y108,Y109,Y110,Y111,Y112,Y113,Y114,Y115,Y116,Y117,Y118,Y119,Y120
C301,3,0,2,0,0,20,0,0,5,0,0,55,0,0,2,1,98,0,32,25
C302,4,0,9,0,0,32,0,0,17,0,0,77,0,6,3,5,85,1,36,20
C303,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1
C304,0,0,0,0,0,3,0,0,2,0,0,2,0,1,0,0,2,0,0,0
C305,10,0,6,0,0,72,0,0,10,0,0,145,0,7,3,0,104,3,28,29
C306,3,0,0,0,0,14,0,0,15,0,0,35,0,2,1,2,78,0,10,12
C307,2,0,1,0,0,11,0,0,6,0,0,21,0,2,0,2,32,0,7,7
C308,5,0,2,0,0,42,0,0,12,0,0,60,0,3,5,2,75,1,15,20
C309,0,0,1,0,0,20,0,0,6,0,0,26,0,1,0,1,40,1,13,7
C310,3,0,1,0,0,13,0,0,8,0,0,30,0,3,1,3,40,0,3,9
C311,2,0,11,0,0,54,0,0,21,0,0,175,0,9,5,8,187,3,23,26
C312,2,0,1,0,0,7,0,0,24,0,0,17,0,0,1,0,27,1,4,8
C313,0,0,6,0,0,83,0,0,12,0,0,60,0,4,2,1,76,1,10,12
C314,0,0,2,0,0,3,0,0,2,0,0,4,0,3,1,1,5,0,0,0
C315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C323,0,0,0,0,0,4,0,0,2,0,0,5,0,0,0,0,3,0,4,1
C324,2,0,0,0,0,2,0,0,5,0,0,6,0,0,1,1,6,0,1,3
C325,1,0,2,0,0,5,0,0,6,0,0,9,0,4,3,2,19,0,1,5
C326,0,0,0,0,0,10,0,0,6,0,0,4,0,1,0,1,15,0,2,2
C327,1,0,0,0,0,12,0,0,4,0,0,16,0,1,2,1,26,0,5,15
C328,5,0,2,0,0,36,0,0,5,0,0,37,0,1,2,3,72,0,7,11
C329,0,0,1,0,0,11,0,0,5,0,0,10,0,1,0,3,14,0,5,7
C330,0,0,3,0,0,10,0,0,6,0,0,14,0,1,2,1,9,0,3,5
C331,1,0,4,0,0,40,0,0,22,0,0,278,0,4,6,5,55,2,29,18
C332,0,0,1,0,0,2,0,0,7,0,0,10,0,0,1,0,3,0,4,6
C333,0,0,5,0,0,123,0,0,11,0,0,51,0,1,4,1,22,0,12,8
C334,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
C335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C343,2,0,6,0,0,14,0,0,7,0,0,26,0,1,1,2,4,0,6,2
C344,0,0,1,0,0,7,0,0,32,0,0,13,0,1,0,0,3,0,2,6
C345,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,1,28,0,5,24
C346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
