Coder,ID,Timestamp,Who?,What?,Re Who?,To Whom?,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:00.0,CHW ,SS,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:16.8,Y ,CQO,CHW,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:17.4,CHW ,SO,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:25.7,CHW ,CQO,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:26.7,Y ,HUPO,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:27.5,CHW ,AFL,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:27.5,CHW ,CQO,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:29.7,Y ,HUPO,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:30.5,CHW ,GINFO-,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:42.4,CG ,CML+,OUR,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:44.9,CHW ,CQECML+,OUR,B,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:52.6,CG ,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:55.2,CHW ,RCML+S,OUR,B,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:55.3,CHW ,AF,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:00:55.4,CHW ,OQO,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:03.4,Y ,HUPO,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:04.4,CHW ,SO,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:06.7,Y ,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:07.5,CHW ,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:11.1,Y ,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:11.9,CHW ,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:12.0,CHW ,ADV-,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:12.1,CHW ,CQO,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:25.1,Y ,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:27.1,CHW ,SS,WE,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:01:58.1,Y ,CML-,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:01.9,CHW ,SO,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:03.3,Y ,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:30.2S:,Y,HUPW,CHW,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:32.2,CHW ,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:33.2,Y ,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:34.8,CHW ,GINFO+,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:36.6,Y ,HUPE,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:37.8,CHW ,CQTBN,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:38.9,CHW ,CQECML+,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:51.6,Y ,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:02:59.3,CHW ,CQTBN,CHW,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:02.9,CHW ,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:06.8,Y ,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:10.8,CHW ,GINFO-,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:10.9,CHW ,CQECML+,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:11.0,CHW ,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:33.9,Y ,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:34.9,CHW ,CQTBN,WE,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:36.7,Y ,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:40.2,CHW ,CQECML+,Y,T,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:41.2,Y ,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:43.8,CG ,HUPW,OUR,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:46.8,CHW ,SO,CHW,B,,,,,,,,,,,,
SM,C107 F385 EC1,00:03:51.3,Y ,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F385 EC1,00:04:05.2,CHW ,GINFO-,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:04:05.3,CHW ,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F385 EC1,00:04:16.9,CHW ,GINFO+,Y,Y,,,,,,,,,,,,
