Coder,ID,Timestamp,Who?,What?,Re Who?,To Whom?,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:00.0,CHW,SS,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:00.0,CHW,QOQ,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:13.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:14.0,CHW,RCHT+S,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:15.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:28.0,CHW,CQECML+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:32.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:47.0,CHW,CQECML+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:00:49.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:06.0,CHW,RCML+S,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:13.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:13.0,CHW,OQECML+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:16.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:17.0,CHW,CQECML+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:21.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:22.0,CHW,RCML+S,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:24.0,PT,CML+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:26.0,CHW,AF,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:28.0,PT,CHT-,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:31.0,CHW,GINFO+,O,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:41.0,PT,CHT-,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:42.0,CHW,AFL,CHW,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:42.1,CHW,CQO,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:43.0,PT,CHT-,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:49.0,PT,HUPO,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:53.0,CHW,ROS,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:53.1,CHW,SS,WE,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:01:53.2,CHW,CQO,OUR,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:02:27.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:02:31.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:03:28.0,PT,CHT+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:03:30.0,CHW,AFL,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:03:30.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:03:30.0,CHW,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:03:47.0,PT,HUPW,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:03:48.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:04.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:06.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:09.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:10.0,CHW,CQTBN,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:13.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:15.0,CG,HUPW,CG,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:15.0,CHW,HUPW,CG,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:17.0,PT,HUPW,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:18.0,CHW,SO,CHW,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:20.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:22.0,CHW,SS,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:25.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:32.0,CHW,ROS,CG,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:32.0,CG,HUPO,O,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:34.0,CHW,SO,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:36.0,CG,HUPO,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:42.0,CHW,SS,CHW,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:53.0,CG,LUP+,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:55.0,CHW,CQO,OUR,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:57.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:04:58.0,CHW,ADV+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:05.0,CG,CHT+,OUR,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:08.0,PT,HUPW,OUR,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:10.0,CG,LUP+,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:11.0,CHW,ADV+,OUR,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:18.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:20.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:22.0,PT,HUPW,O,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:23.0,CG,LUP+,CG,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:25.0,CHW,SO,CHW,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:26.0,CG,HUPW,OUR,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:52.0,CHW,GINFO+,O,CG,,,,,,,,,,,,
SM,C107 F412 SM1,00:05:55.0,CG,HUPW,FAM,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:06:01.0,CHW,CQECHT+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:06:05.0,PT,CHT+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:06:07.0,CHW,GINFO+,Y,B,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:16.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:18.0,CHW,GINFO+,Y,Y,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:23.0,PT,LUP+,Y,CHW,,,,,,,,,,,,
SM,C107 F412 SM1,00:07:25.0,CHW,GINFO+,OUR,B,,,,,,,,,,,,
